,distance,width,movement_time
2450,75,18,669
3215,160,6,816
2089,120,20,671
3304,40,20,296
4719,40,18,449
4796,40,8,601
1866,120,6,745
3489,60,8,730
3099,75,18,464
2097,75,6,800
45,75,20,636
1729,60,18,383
566,120,8,1048
2752,160,14,624
1547,210,18,625
3322,210,14,939
4432,210,20,674
441,40,6,1005
6010,120,18,803
2104,210,10,1114
4095,60,18,416
3883,210,6,843
62,120,8,893
1181,40,18,528
55,120,8,822
143,75,8,827
1179,40,18,477
3007,210,6,1024
4668,160,6,1063
3081,60,18,720
4103,60,18,334
5862,40,20,600
20,75,14,671
2860,160,10,1746
76,120,6,1086
1166,75,14,670
1893,210,10,626
3083,60,18,627
1502,75,20,431
4579,210,8,920
3542,120,6,1015
2471,40,10,734
406,40,20,646
4663,160,6,961
5814,40,14,488
3486,60,8,697
5927,60,8,624
3908,60,8,655
747,160,14,753
1997,160,20,881
2259,210,8,1040
2279,210,18,910
849,160,8,943
3841,160,18,668
576,75,6,1007
5443,160,18,586
1552,120,10,549
5938,120,10,774
5466,120,14,631
4908,160,20,592
5202,160,14,657
3000,120,6,1201
2856,160,10,1106
5817,40,14,486
3870,160,20,624
2483,120,10,674
2190,160,6,1311
3374,60,14,495
5487,75,8,450
4426,210,20,793
179,40,6,697
3478,210,10,1079
3864,210,10,766
3212,60,18,653
2504,40,14,447
2032,160,14,1011
3172,40,10,491
5349,75,6,673
3699,120,20,888
5365,210,18,613
4378,210,18,760
99,75,6,805
1074,160,18,735
4099,60,18,467
5843,40,6,694
2161,40,14,416
4448,160,6,969
4303,60,18,607
4636,60,10,729
4875,160,18,674
4005,160,14,762
2834,120,18,886
3921,160,18,668
4348,120,6,690
4981,160,10,633
4534,120,18,662
6158,60,20,424
3793,75,18,529
1041,75,8,677
5613,160,6,662
118,160,18,695
5498,75,20,383
2615,40,20,434
1231,75,6,613
1762,60,14,385
3794,75,18,520
1823,120,8,609
1787,60,6,482
1248,75,8,824
5774,40,6,599
2669,210,6,929
1605,60,10,410
4913,75,10,600
1190,60,20,533
3245,40,6,784
6154,60,20,481
3240,40,6,526
3499,60,10,1006
2530,160,6,1018
1048,40,10,465
1211,60,18,600
4925,210,6,1031
686,120,18,997
5125,210,10,720
1742,75,6,585
444,60,8,740
5847,40,6,1320
2062,60,6,758
940,75,10,673
2459,60,14,466
5106,60,8,456
822,75,6,1026
3098,75,18,634
2637,160,20,742
2222,75,10,821
3394,120,20,527
3566,40,8,774
4368,75,6,1002
2075,120,14,886
5003,120,6,929
3819,120,10,672
3299,160,8,811
1896,75,10,394
3949,160,10,703
1082,210,20,809
3137,40,8,478
1071,160,18,800
3637,120,18,748
1761,40,18,319
3386,160,20,689
1403,160,6,889
1449,120,20,602
3121,120,10,989
4540,120,18,768
5655,75,18,400
2602,75,6,779
1586,120,20,646
3974,120,10,732
3269,60,6,568
5967,75,6,1246
1212,60,18,568
685,120,18,864
985,210,8,793
3157,40,18,463
2882,120,8,884
3388,120,20,609
2721,160,14,776
43,210,20,824
4772,60,14,589
170,40,6,808
4753,75,8,602
1398,40,14,470
2413,120,20,781
359,210,10,1099
778,120,18,790
2078,120,14,919
5787,60,8,584
2840,120,18,866
1393,40,14,512
5946,210,10,830
4749,120,14,578
136,120,18,630
5378,40,20,323
2074,120,14,755
5706,210,18,560
2742,160,6,1093
6056,210,6,1273
4280,60,20,535
4274,40,18,544
3230,160,14,659
855,160,10,993
194,75,10,528
2960,40,14,561
4355,210,14,824
628,60,6,992
5140,160,18,513
5170,40,10,403
2638,160,20,722
4732,120,10,848
5603,40,14,312
5643,60,20,368
1349,60,14,560
5117,210,6,806
2659,40,18,426
1005,210,6,1274
5752,75,14,392
5204,160,14,578
4272,40,18,555
2088,120,20,713
5942,120,10,1023
271,210,18,817
932,75,20,562
3808,160,10,912
167,40,14,408
3516,160,8,1035
3952,160,10,653
188,160,8,809
2061,60,6,493
971,60,6,918
2456,60,14,587
5922,40,8,703
583,120,6,862
4268,40,18,581
562,160,6,1512
3988,210,14,976
5974,75,6,625
3331,210,8,1155
4782,75,14,653
4050,210,8,847
4289,160,14,925
1981,160,10,1121
3689,60,18,534
4217,210,18,689
2064,60,6,760
5796,210,8,744
706,40,10,1063
1144,160,14,1113
2810,40,6,720
4431,210,20,838
4645,120,18,655
314,40,18,530
1589,120,20,649
4132,75,20,482
966,60,10,653
3545,120,6,1312
2212,60,10,527
2795,60,14,503
2761,75,8,994
4531,75,8,753
1883,160,14,598
5497,75,20,443
3771,75,20,731
5823,210,8,1184
5314,120,14,656
1311,210,20,784
2348,75,8,697
4522,210,6,1209
212,210,6,803
6062,75,20,466
4340,120,6,1024
5070,60,14,417
993,60,18,523
4520,210,6,977
2312,120,8,794
3013,210,6,1498
2826,40,8,708
3239,40,6,877
5896,120,20,695
199,75,10,623
3946,160,10,639
5462,120,14,546
3653,40,18,649
3802,40,14,461
3562,40,8,952
4986,160,10,646
2971,60,8,786
3764,75,10,598
52,75,20,570
878,120,8,894
5832,75,14,544
973,60,6,849
2606,60,20,475
3682,40,20,658
3362,60,20,335
642,210,6,862
2555,160,18,806
1616,160,20,647
4338,120,6,695
3810,160,10,648
6068,75,20,539
2145,60,20,385
4278,60,20,750
516,210,20,828
3342,75,10,600
1891,210,10,782
3527,210,20,992
5163,60,18,458
3481,210,10,1149
4786,75,14,648
3046,160,20,832
5956,210,10,865
2376,210,20,813
3574,40,6,707
1134,40,20,433
4367,75,6,1145
3554,210,10,1057
3459,75,14,865
3044,160,20,835
3426,160,10,1162
793,60,14,600
2294,40,6,1143
1168,75,14,623
1073,160,18,717
5875,75,10,531
767,120,10,1369
3664,210,6,1192
150,60,6,663
4328,120,10,864
4444,60,10,548
4258,75,18,737
1007,210,6,978
4739,120,10,697
1667,210,20,751
6059,75,20,570
1025,160,20,704
1493,210,8,874
4985,160,10,760
186,160,8,824
6076,75,18,512
1375,210,6,881
5417,160,10,713
4,210,8,865
1282,40,8,560
3289,160,8,720
4609,60,6,650
2179,40,18,422
2724,160,14,976
2124,120,6,1154
3268,60,6,675
499,160,8,1027
104,75,6,710
4953,160,14,704
5975,75,6,815
1215,60,18,457
3721,120,8,1004
2501,60,10,675
613,210,18,1457
5519,120,20,513
3471,120,6,857
5075,60,10,576
718,75,10,987
3077,60,18,764
1647,210,14,763
4245,40,6,639
72,60,14,608
5293,210,20,602
608,160,18,1019
724,210,8,1287
3349,210,18,711
5717,120,6,672
4788,75,14,512
1206,60,18,490
5065,60,14,455
2711,60,8,814
1280,75,10,639
135,120,18,561
1169,75,14,561
1698,160,18,586
675,40,8,841
492,75,18,790
5530,60,18,409
5049,120,10,773
3443,40,14,512
3314,210,14,792
2148,60,20,393
3608,75,6,1055
3907,60,8,635
1718,40,8,490
2022,160,14,800
3145,75,20,690
1565,120,18,608
3397,120,20,392
5442,160,18,641
6014,120,18,591
5253,60,6,545
4296,160,14,1056
2374,210,20,834
5616,160,6,705
2232,40,10,466
1015,160,6,856
5728,120,6,639
2118,120,6,1039
5407,120,18,535
3772,75,20,616
4094,75,8,760
4960,210,10,1078
432,40,6,923
4319,120,14,720
2919,160,18,624
5454,210,14,710
634,210,6,1294
4595,40,6,557
2381,160,8,961
4314,60,14,544
3408,160,18,544
788,60,14,725
2207,60,10,478
2221,75,10,569
5859,160,6,1304
235,60,20,505
4395,40,8,434
5895,120,20,800
3455,75,14,504
3473,120,6,1073
5233,75,20,427
5401,120,18,648
5201,160,14,814
5968,75,6,745
5154,210,8,919
5610,160,6,823
4244,40,6,767
3173,40,10,408
3463,75,14,504
5203,160,14,624
2342,60,14,544
5458,210,14,629
5646,60,20,280
5051,120,10,814
5589,160,14,536
3779,210,18,1030
3710,160,6,1288
4163,160,8,808
2309,120,8,928
372,120,14,776
181,40,6,601
1107,210,10,880
364,210,10,913
4147,120,8,608
3605,75,6,872
4688,60,18,538
3630,120,18,915
4502,160,20,521
2593,40,6,646
4805,210,18,833
4358,210,14,769
908,40,20,394
4241,40,6,542
5148,210,8,776
5395,40,18,320
19,75,14,728
1686,40,10,497
6164,160,10,965
3287,120,8,760
2825,40,8,735
3146,75,20,750
3812,160,10,1095
4571,160,18,721
184,160,8,864
936,75,20,616
5301,210,20,627
3488,60,8,696
4187,60,10,511
1076,160,18,687
3933,75,6,536
2862,160,10,1202
2613,60,20,535
1535,60,20,511
4676,75,18,560
5419,160,10,605
18,75,14,824
1870,120,6,576
902,40,14,577
3366,60,14,777
1008,210,6,889
5449,160,18,576
1844,160,6,633
1621,160,20,651
5182,75,10,514
5108,210,6,961
4768,120,20,745
3678,40,20,627
4859,60,6,736
4158,160,8,752
3551,210,10,1224
1140,40,20,463
410,40,20,626
2000,160,20,921
5180,75,10,409
5624,60,14,409
3731,60,14,528
386,40,8,736
2399,40,8,664
5695,40,20,257
3569,40,6,799
5845,40,6,718
612,160,18,1041
41,210,20,808
2412,120,20,718
4599,75,14,502
5557,160,8,763
6169,160,10,944
5738,40,18,247
5598,40,14,400
2090,120,20,569
5491,75,8,569
5181,75,10,565
1176,40,18,436
3396,120,20,591
5079,60,10,605
4023,120,20,469
6106,40,10,911
5259,60,20,360
3006,210,6,1331
1426,210,10,1073
585,120,6,863
5018,75,8,622
5041,120,10,729
518,210,20,757
818,75,6,986
5028,75,8,657
3417,120,18,518
4232,40,18,566
1127,75,14,695
4118,120,14,571
5994,160,8,1280
2398,40,8,528
5367,75,18,336
3419,120,18,624
4684,60,18,576
5355,210,18,1037
6166,160,10,848
2975,75,6,1247
2490,120,10,895
2068,120,14,761
5457,210,14,643
1801,120,14,506
498,160,8,878
2584,40,6,654
1488,210,8,975
3220,160,6,1183
4215,75,18,576
2851,60,6,757
1588,120,20,640
695,60,18,796
5661,75,18,390
4508,160,20,606
3441,75,8,593
1850,60,8,397
3598,60,8,624
2079,120,14,630
539,75,20,618
1253,75,8,608
4798,40,8,664
5553,120,8,642
258,40,20,343
4446,160,6,1167
4333,120,10,728
3498,60,8,776
2215,60,10,394
601,160,10,1113
3276,120,8,710
1456,120,14,712
2217,75,10,911
5185,75,10,634
117,160,18,744
4177,120,6,710
3508,60,10,1002
5165,60,18,422
298,60,10,528
1629,75,8,474
3206,60,18,872
4414,120,20,607
1117,210,14,815
5935,120,10,999
2419,120,20,672
379,40,8,640
1292,40,8,488
4819,210,14,712
84,120,6,1041
2007,160,20,679
4720,40,10,606
5219,40,6,450
5444,160,18,552
4849,160,8,774
353,120,10,698
4190,60,10,537
636,210,6,1094
458,60,14,712
5547,120,8,762
2650,120,6,982
5386,40,20,311
4326,120,14,672
5478,60,6,671
418,75,8,934
237,60,20,406
4757,75,8,647
384,40,8,593
1329,40,10,449
4051,210,8,1016
4259,75,18,487
1592,120,20,536
5816,40,14,643
4400,40,8,560
4632,60,10,770
1056,75,18,602
4726,40,10,602
5356,210,18,656
5571,75,6,610
1843,160,6,648
1573,75,18,544
723,75,10,780
4061,75,10,479
6039,75,8,1121
3851,210,14,965
2041,160,18,633
5096,60,8,754
5389,40,18,353
5471,120,14,497
1210,60,18,486
4256,60,8,587
5403,120,18,575
244,160,6,1135
3066,75,14,688
4399,40,8,496
4896,40,14,434
4462,75,20,392
3725,120,8,1034
63,120,8,867
666,160,20,874
1295,120,18,711
5923,40,8,737
3001,120,6,1522
1559,120,10,1145
4030,60,6,568
688,120,18,960
5328,40,14,400
5083,60,10,457
739,60,20,543
4160,160,8,745
148,60,6,735
14,75,14,754
1424,210,10,911
5688,120,10,449
6061,75,20,464
146,75,8,832
814,75,6,945
2378,210,20,799
5773,40,6,489
2976,75,6,1075
2957,40,14,624
4572,160,18,807
4364,75,6,975
3684,40,20,669
2344,60,14,416
2773,120,10,1156
2609,60,20,479
4405,40,8,664
3818,120,10,778
5592,160,14,656
4842,160,8,1019
1811,210,6,735
3685,40,20,845
5134,160,18,499
887,120,6,983
4969,210,10,733
5327,40,14,352
1148,160,14,848
2070,120,14,736
5936,120,10,990
1548,210,18,608
4419,40,20,412
758,40,8,653
1549,210,18,600
4836,75,6,654
4793,40,8,585
714,75,10,1304
3644,75,8,1111
5294,210,20,734
646,40,14,830
5893,120,20,855
4835,75,6,666
3645,75,8,1207
4324,120,14,576
3057,75,14,653
5494,75,20,372
1554,120,10,576
981,210,8,1228
1325,60,8,753
954,60,8,695
1912,75,20,256
2870,120,14,631
3256,210,6,920
5503,210,20,696
2214,60,10,391
1222,120,8,783
5932,60,8,576
4631,60,10,791
5008,120,6,864
4704,120,8,841
1061,75,18,579
1929,75,20,408
4020,120,20,512
3521,210,20,983
4031,60,6,728
2223,75,10,698
5619,60,14,456
890,120,6,975
6077,75,18,479
1544,210,18,669
2391,40,8,590
1024,160,20,721
1496,210,8,802
1733,60,18,366
4064,75,10,623
821,75,6,1143
3750,160,14,749
1356,60,14,535
5229,75,20,433
2845,60,6,609
4615,60,6,534
3537,210,8,1072
1947,40,20,378
1427,210,10,925
4707,120,8,728
422,60,10,704
1967,75,14,735
2790,210,14,1136
701,60,18,704
2519,60,18,423
494,160,8,846
5337,120,20,462
5804,120,14,903
2538,120,18,849
2444,75,18,593
2833,120,18,736
4916,75,10,561
4740,120,14,784
2433,210,10,800
1365,210,6,993
4804,210,18,785
5879,75,10,913
4544,160,10,889
1693,40,10,442
847,160,8,1056
1394,40,14,512
3867,210,10,752
1522,120,10,667
3139,40,8,650
105,75,6,786
2874,120,8,1699
3597,60,8,704
3154,40,18,383
1911,75,20,266
1229,75,6,640
2496,60,10,553
897,40,14,464
5100,60,8,429
3629,120,18,930
880,120,8,1064
4526,75,8,1159
152,60,6,743
2988,120,20,751
5166,60,18,387
3686,40,20,750
3186,210,20,785
4523,75,8,993
989,60,18,479
2168,210,6,1161
1115,210,14,958
5343,75,6,608
1531,60,20,512
1247,160,20,822
4087,75,8,542
5641,60,20,279
4442,60,10,499
3894,60,20,513
4302,60,18,568
1754,40,18,264
3096,75,18,562
5856,160,6,1440
2624,75,8,708
2473,40,10,510
4718,40,18,633
3259,210,6,993
717,75,10,1214
5747,40,8,368
1717,40,8,463
1265,210,14,897
5404,120,18,753
462,120,10,831
3994,40,8,519
2948,40,10,753
760,40,8,574
1109,210,10,894
2838,120,18,786
1714,40,14,419
3897,60,20,543
5980,40,18,498
3780,210,18,1002
3109,120,14,758
5032,160,20,719
340,120,20,695
1029,160,20,669
413,75,8,896
1813,120,8,592
3515,160,8,1006
1941,40,20,377
1262,210,14,839
154,60,6,800
2366,210,14,911
5322,40,14,622
2110,210,10,817
4754,75,8,726
4777,60,14,568
3846,160,18,732
3448,40,14,730
2340,60,14,544
2299,60,8,833
3457,75,14,449
2979,75,6,1075
5683,160,20,568
4290,160,14,811
935,75,20,551
551,120,14,975
1782,60,6,563
4062,75,10,482
542,75,20,670
1068,160,18,852
5991,160,8,952
5410,160,10,1042
4635,60,10,712
2539,120,18,730
1562,120,10,621
3123,120,10,840
1372,210,6,886
323,60,8,967
5735,40,18,248
4950,160,14,820
1191,60,20,531
3713,160,6,961
3944,160,10,881
4654,210,8,911
2802,40,6,801
3461,75,14,510
1096,120,14,606
23,160,10,1114
3348,210,18,818
1921,210,20,1120
2654,120,6,769
4880,120,6,800
5892,160,18,760
5313,120,14,568
3663,210,6,1040
1413,210,18,781
563,120,8,857
1062,75,18,660
3169,75,6,1008
1454,120,20,707
893,120,6,1183
224,160,14,600
5069,60,14,578
3244,40,6,728
1120,75,14,656
727,210,8,1176
1327,60,8,736
1151,160,14,768
2327,120,18,530
859,160,10,929
5871,40,20,489
931,75,20,494
3167,75,6,614
2689,75,10,720
438,40,6,869
3144,75,20,667
1916,75,20,467
5912,210,14,817
6054,210,6,1184
1312,210,20,816
502,160,8,863
402,40,20,847
2564,210,8,1129
3654,40,18,497
5634,120,18,471
3129,120,10,978
2125,120,6,760
2227,75,10,677
2983,75,6,768
4352,120,6,839
3817,160,10,882
1753,40,18,297
2189,40,18,401
1252,75,8,576
4238,40,6,577
860,160,10,1000
1683,160,10,688
1031,160,20,589
2476,40,10,554
1542,210,18,785
3573,40,6,831
3273,60,6,774
4223,210,18,743
2772,120,10,845
2952,40,10,735
4640,120,18,782
6029,120,6,800
5567,75,6,562
5199,160,14,1452
1023,160,20,847
2719,60,8,814
2305,60,8,633
5131,210,10,769
3165,75,6,1399
4454,160,6,1048
2791,60,14,899
857,160,10,1024
4445,60,10,475
4483,120,8,723
3698,120,20,799
2286,40,6,616
3483,210,10,769
5802,120,14,797
2016,40,8,480
4188,60,10,721
588,120,6,921
1224,120,8,799
1042,75,8,857
3742,160,20,768
2475,40,10,512
375,120,14,785
3666,210,6,1289
1819,120,8,585
595,160,10,797
3319,210,14,730
2140,60,20,434
1384,160,10,847
5042,120,10,607
977,60,6,778
4977,210,20,552
6092,60,14,504
1294,120,18,742
5428,75,10,473
306,40,18,385
2611,60,20,466
548,120,14,927
4174,120,6,761
4737,120,10,720
5940,120,10,816
407,40,20,704
3683,40,20,645
2768,75,8,833
5612,160,6,823
3615,40,10,652
3176,40,10,521
1347,160,18,758
5888,160,18,793
1318,60,8,584
1425,210,10,894
6146,60,18,593
2812,210,18,850
4346,120,6,957
5518,120,20,434
2360,210,14,918
2330,120,18,528
5881,75,10,662
4189,60,10,599
1770,60,14,430
1110,210,14,783
4830,75,6,825
2151,60,20,415
4554,75,10,622
3777,75,20,512
5539,40,10,415
1439,60,10,527
77,120,6,1296
4680,60,18,551
5383,40,20,344
5411,160,10,936
1442,60,10,512
2228,40,10,368
5235,160,8,926
1780,160,8,708
3271,60,6,624
360,210,10,1160
2595,75,6,897
3010,210,6,1008
4802,210,18,744
5705,210,18,598
2924,40,18,435
3073,210,20,835
3635,120,18,905
26,160,10,863
1595,210,8,780
2644,160,20,727
4655,210,8,792
6083,60,10,536
1083,210,20,805
3687,40,20,491
5765,40,6,451
3474,120,6,1153
1794,120,14,668
5402,120,18,400
1609,60,10,528
4894,40,14,391
5121,210,10,1056
2733,210,8,1023
6024,60,6,926
3207,60,18,448
771,120,10,1184
2258,210,8,760
1540,60,20,417
431,60,10,1063
4623,40,10,520
5769,40,6,395
5360,210,18,825
3450,40,14,913
955,60,8,646
4275,40,18,632
4959,160,14,632
1664,75,14,529
1348,160,18,746
3449,40,14,1088
5030,160,20,729
5483,75,8,760
3996,40,8,609
2893,160,8,965
4422,40,20,322
267,210,14,801
1388,40,14,482
2963,40,14,482
2993,120,20,1011
2807,40,6,676
4475,40,14,314
1700,160,18,720
1395,40,14,473
78,120,6,1289
392,210,10,991
4728,40,10,633
5012,120,6,840
743,60,20,648
4812,210,14,992
1411,160,6,902
4564,160,18,674
4109,40,20,416
209,210,6,824
480,120,20,1007
1914,75,20,279
3156,40,18,728
643,40,14,719
5507,210,20,652
5803,120,14,736
4397,40,8,513
4009,75,14,486
550,120,14,897
2424,75,14,526
1738,75,6,561
434,40,6,749
2115,210,10,785
720,75,10,1012
1723,40,8,481
2697,75,10,648
112,160,20,766
312,40,18,337
4306,60,18,520
4658,210,8,1033
57,120,8,857
377,120,14,567
2730,160,14,963
189,160,8,902
5585,160,14,520
3332,210,8,1167
6091,60,14,521
1599,210,8,991
1646,210,14,710
376,120,14,1017
2303,60,8,578
5870,40,20,439
5157,60,18,530
5668,210,6,711
972,60,6,560
88,60,18,569
700,60,18,609
3376,160,20,664
4833,75,6,607
3869,160,20,586
3352,210,18,743
2572,210,8,1153
921,40,6,496
1763,60,14,329
3203,60,18,386
5915,40,8,959
5247,60,6,778
4092,75,8,696
1130,75,14,664
870,210,18,963
4069,60,14,441
4994,40,6,816
3767,75,10,512
2318,120,8,711
1501,75,20,496
1244,160,20,754
417,75,8,1002
3150,75,20,376
4067,60,14,456
251,40,20,450
5152,210,8,705
4079,210,20,647
3838,160,18,962
1832,40,20,247
5590,160,14,506
3986,210,14,751
4745,120,14,605
2677,75,20,490
1059,75,18,641
598,160,10,910
4221,210,18,576
107,160,20,808
1419,210,18,767
3372,60,14,361
325,75,18,570
5759,75,14,456
6123,160,14,920
4966,210,10,904
5082,60,10,415
5966,160,20,750
2014,40,8,911
3221,160,6,1216
5415,160,10,790
996,60,18,415
611,160,18,753
3941,75,6,728
3924,160,6,936
5254,60,6,502
5723,120,6,648
5911,210,14,894
4627,40,10,441
1743,75,6,553
368,120,14,679
2998,120,6,818
352,120,10,758
5684,160,20,712
225,160,14,783
2003,160,20,735
1468,120,6,747
5090,160,10,911
1759,40,18,232
2854,160,10,1089
5432,60,10,539
5162,60,18,391
1709,40,14,409
1888,210,10,879
2658,40,18,394
1831,40,20,233
1084,210,20,970
1309,210,20,837
4408,120,20,681
397,210,10,1171
4891,40,14,385
4042,210,8,878
2173,210,6,1104
4065,60,14,441
1534,60,20,360
998,60,18,513
3704,120,20,661
2829,40,8,785
2203,60,10,432
3211,60,18,635
4837,75,6,627
4072,60,14,447
1390,40,14,636
1457,120,14,616
5473,60,6,534
1459,120,14,576
5300,210,20,688
2511,40,14,473
2726,160,14,782
2273,210,18,714
2758,160,14,705
5088,160,10,713
3575,40,6,992
2958,40,14,564
4341,120,6,839
5517,120,20,486
4541,120,18,600
746,160,14,881
4070,60,14,423
4954,160,14,773
1551,210,18,687
2632,75,8,830
103,75,6,944
6046,75,8,694
3754,160,14,823
910,40,20,632
2565,210,8,1384
1484,75,18,527
3833,120,14,685
4499,160,8,744
3785,210,18,905
3955,40,10,664
1016,160,6,1296
512,40,18,544
3252,210,6,1368
926,40,6,990
1580,75,18,613
5486,75,8,502
2667,210,6,1199
1591,120,20,665
4708,120,8,777
3423,160,10,1095
6103,40,10,475
5396,40,18,314
5167,40,10,572
3805,40,14,551
4427,210,20,729
1376,160,10,703
5225,75,20,447
5542,40,10,384
2536,120,18,946
1193,60,20,505
1237,160,20,838
4331,120,10,607
110,160,20,727
2630,75,8,625
2509,40,14,503
5700,40,20,250
2582,120,8,840
4530,75,8,688
195,75,10,696
398,210,10,967
2801,40,6,849
6157,60,20,441
2012,40,8,488
4678,75,18,563
615,210,18,966
1044,40,10,480
5461,210,14,617
3017,75,10,829
951,60,8,816
2266,210,8,992
3719,120,8,983
2926,40,18,526
1505,75,20,489
2679,75,20,409
4510,160,20,832
546,120,14,784
1607,60,10,602
2610,60,20,470
2876,120,8,849
5707,210,18,521
4392,210,10,929
5101,60,8,562
242,160,6,934
4909,75,10,616
5669,210,6,761
1259,210,14,1079
5807,120,14,872
5799,120,14,1264
909,40,20,368
145,75,8,722
5329,40,14,335
1807,210,6,632
641,210,6,1055
4813,210,14,764
6097,60,14,488
5659,75,18,370
2735,210,8,1363
3296,160,8,817
4016,75,14,609
3747,160,20,614
4792,40,8,724
1139,40,20,434
5452,210,14,744
1230,75,6,577
221,160,14,569
1983,160,10,889
5159,60,18,390
974,60,6,647
5758,75,14,434
3131,40,8,399
321,60,8,560
5243,160,8,730
2600,75,6,667
2759,160,14,1091
5937,120,10,1052
5216,40,6,559
4332,120,10,753
6049,210,6,1360
3504,60,10,861
6005,120,8,951
4872,160,18,791
1634,75,8,632
3501,60,10,936
4887,120,6,705
1401,160,6,1022
4185,60,10,575
3954,160,10,890
3708,160,6,1495
2816,210,18,930
2128,120,6,1042
2028,160,14,746
5112,210,6,1031
5261,60,20,367
681,40,8,1297
289,40,10,672
5597,40,14,384
4093,75,8,504
1569,120,18,539
4597,75,14,482
952,60,8,632
2985,120,20,834
3977,210,14,738
4619,40,10,396
2425,75,14,586
6109,40,10,558
856,160,10,912
2077,120,14,1192
5726,120,6,679
5949,210,10,1032
5971,75,6,815
3085,60,18,581
4469,75,20,359
248,40,20,383
5794,210,8,694
5364,210,18,601
3313,210,14,807
1530,120,10,797
894,120,6,929
381,40,8,681
2210,60,10,418
1157,40,6,736
3510,160,8,1009
437,40,6,773
1072,160,18,763
2514,60,18,553
3701,120,20,714
2024,160,14,904
2972,60,8,914
1848,60,8,583
5455,210,14,666
3071,210,20,752
4928,210,6,824
2497,60,10,576
2906,60,10,820
1841,160,6,704
1331,40,10,464
1690,40,10,401
2004,160,20,697
752,160,14,1241
4567,160,18,776
5431,60,10,495
2428,75,14,488
4209,75,18,488
4979,210,20,582
5276,120,8,1368
1677,160,10,655
5062,160,6,1143
2359,210,14,1001
1578,75,18,445
3978,210,14,846
3590,60,8,894
3234,40,6,1254
537,75,20,609
5873,75,10,681
5532,60,18,357
2578,120,8,839
5586,160,14,456
703,60,18,583
2423,75,14,681
4035,60,6,704
220,160,14,790
1820,120,8,527
4974,210,20,711
676,40,8,1206
348,120,10,641
183,160,8,1041
2746,160,6,1106
1055,75,18,686
1952,60,18,880
1291,40,8,641
4905,160,20,472
2171,210,6,1177
4239,40,6,519
4947,40,20,405
12,75,14,888
2375,210,20,864
815,75,6,1190
1476,120,6,743
5103,60,8,656
5311,210,14,786
1178,40,18,418
3267,60,6,564
4692,60,8,677
1149,160,14,895
877,120,8,996
3939,75,6,673
3091,75,18,630
2440,210,10,866
185,160,8,920
1043,40,10,751
1922,210,20,1144
3274,60,6,642
5744,40,8,368
6079,75,18,537
5541,40,10,442
3021,75,10,879
336,120,20,625
1619,160,20,592
4143,40,14,420
3934,75,6,561
865,210,18,975
4665,160,6,890
4423,40,20,384
3029,40,20,385
3898,60,20,745
547,120,14,791
5820,210,8,1033
2691,75,10,583
4973,210,20,617
6156,60,20,472
97,75,6,574
937,75,20,560
1880,160,14,567
5690,120,10,531
792,60,14,560
3350,210,18,713
1290,40,8,615
3153,40,18,485
1902,75,10,489
4621,40,10,622
3270,60,6,545
255,40,20,458
2198,160,6,953
215,210,6,837
1630,75,8,473
5354,210,18,673
4406,120,20,784
2782,210,14,978
1298,120,18,720
5177,75,10,546
5476,60,6,518
1085,210,20,801
2468,210,18,951
5620,60,14,391
1845,160,6,671
5352,75,6,518
3020,75,10,723
4349,120,6,834
4706,120,8,694
2400,160,10,1017
2617,40,20,507
3535,210,8,1079
2558,160,18,752
3291,160,8,752
6,210,8,1054
694,60,18,579
4134,75,20,496
761,40,8,569
5882,75,10,865
2815,210,18,866
4227,40,18,336
1865,120,6,706
4729,40,10,535
2731,210,8,1121
4226,210,18,688
1810,210,6,1014
1214,60,18,526
316,60,8,726
6145,60,18,535
3506,60,10,1026
5574,75,6,613
3928,160,6,743
5315,120,14,488
2863,160,10,1331
456,60,14,760
5440,60,10,472
1319,60,8,535
1611,60,10,721
5045,120,10,889
2020,40,8,457
4538,120,18,656
5242,160,8,743
4263,75,18,628
5764,40,6,412
939,75,10,897
1793,120,14,461
5436,60,10,448
3636,120,18,820
5495,75,20,406
362,210,10,784
4853,60,6,621
3729,60,14,545
1704,160,18,672
3690,60,18,592
5492,75,8,437
738,60,20,562
527,75,14,744
3214,160,6,1112
5652,75,18,349
31,160,10,1336
3643,75,8,863
3547,120,6,1000
831,120,20,727
2599,75,6,782
823,75,6,1704
2652,120,6,679
423,60,10,721
5472,60,6,480
5188,40,8,392
2718,60,8,710
5371,75,18,386
2102,210,10,897
3341,75,10,1558
3718,120,8,986
670,160,20,766
3543,120,6,1617
3147,75,20,600
4582,210,8,871
5767,40,6,440
4394,210,10,792
1397,40,14,596
2261,210,8,993
4277,40,18,689
759,40,8,699
1102,210,10,926
260,210,14,856
1515,160,8,1001
5086,160,10,691
1285,40,8,626
5739,40,18,226
3757,160,14,888
5901,120,20,631
753,160,14,797
4161,160,8,886
3164,75,6,835
196,75,10,688
568,120,8,1055
2393,40,8,600
4735,120,10,669
4746,120,14,698
2877,120,8,882
1705,160,18,616
1806,210,6,826
1618,160,20,552
965,60,10,993
698,60,18,657
3035,40,20,530
5822,210,8,1090
2239,40,10,473
3060,75,14,733
4674,75,18,527
2577,120,8,944
1703,160,18,528
4153,120,8,801
403,40,20,681
4824,75,20,514
5776,60,8,497
5770,40,6,464
5116,210,6,1016
3262,210,6,1120
4029,120,20,568
6096,60,14,554
3798,40,14,594
2334,60,14,798
