,distance,width,movement_time
5534,40,10,389
3593,60,8,665
5434,60,10,526
5575,210,10,873
3162,75,6,1441
2803,40,6,655
5853,160,6,1216
942,75,10,712
4262,75,18,642
3019,75,10,527
111,160,20,690
5142,160,18,496
1984,160,10,799
5997,160,8,866
2571,210,8,1000
4117,120,14,614
4945,40,20,399
5214,40,6,554
2970,60,8,847
967,60,10,634
91,60,18,424
1670,210,20,584
1950,60,18,657
2099,75,6,753
5183,75,10,448
4731,120,10,866
6118,210,18,689
2434,210,10,894
1203,60,6,530
1417,210,18,743
4709,120,8,721
3807,40,14,485
3880,210,6,801
1386,160,10,753
4920,210,6,917
2491,60,10,701
2276,210,18,744
816,75,6,778
419,75,8,856
3392,120,20,601
2885,160,8,766
1392,40,14,494
1175,40,18,488
1627,75,8,506
5664,210,6,886
1480,75,18,536
3224,160,14,1008
1839,160,6,598
2754,160,14,881
4764,120,20,607
249,40,20,409
798,40,18,582
257,40,20,385
3778,210,18,1055
85,120,6,944
5346,75,6,591
6025,60,6,898
873,210,18,1239
4452,160,6,1220
5676,160,20,558
3763,75,10,514
1463,120,14,703
2106,210,10,1618
172,40,6,832
2889,160,8,816
1184,40,18,416
3695,60,18,721
4298,60,18,723
872,210,18,1162
5467,120,14,592
1428,210,10,1051
3190,210,20,727
5680,160,20,487
1163,40,6,582
2093,75,6,530
4292,160,14,1013
5279,75,14,396
4497,160,8,799
3648,75,8,895
6160,160,10,802
264,210,14,918
4152,120,8,552
2048,210,14,805
3980,210,14,895
933,75,20,608
833,120,20,758
3335,75,10,779
4575,210,8,1200
3079,60,18,782
5488,75,8,544
5105,60,8,690
1078,210,20,958
3514,160,8,903
6064,75,20,520
3093,75,18,626
1802,210,6,806
2401,160,10,888
5110,210,6,1158
4420,40,20,351
2237,40,10,593
5905,210,14,887
5271,120,8,522
4608,60,6,636
5869,40,20,461
503,40,18,541
3829,120,14,623
6129,160,14,1046
645,40,14,689
769,120,10,965
2531,160,6,945
3522,210,20,871
6001,120,8,1375
4679,75,18,622
5095,60,8,744
5342,120,20,425
2709,60,6,775
4820,75,20,592
5502,75,20,441
925,40,6,760
468,120,10,666
3665,210,6,1160
2350,75,8,943
408,40,20,632
4478,40,14,361
710,40,10,750
4814,210,14,980
3787,210,18,777
2073,120,14,967
4598,75,14,545
2369,210,20,892
3094,75,18,528
4630,60,10,639
3367,60,14,665
3166,75,6,808
6055,210,6,1000
3012,210,6,1155
1133,40,20,481
1996,160,8,992
2594,75,6,630
5061,160,6,889
3264,210,6,1199
361,210,10,816
3546,120,6,1059
5865,40,20,466
4840,160,8,1213
3143,75,20,687
5128,210,10,627
1830,40,20,239
5114,210,6,864
2968,60,8,542
3439,75,8,686
5848,40,6,599
1668,210,20,721
447,60,8,1146
3912,160,18,687
5582,210,10,682
5223,75,20,562
4614,60,6,578
5413,160,10,792
2695,75,10,549
4330,120,10,588
4789,75,14,658
5562,160,8,653
2469,210,18,761
2354,75,8,659
272,210,18,702
5437,60,10,374
920,40,6,545
3887,210,6,1008
2938,210,10,690
3181,40,10,495
2954,40,10,640
2271,210,18,688
2295,60,8,553
216,160,14,845
5924,40,8,825
4862,60,6,567
3595,60,8,969
2951,40,10,674
439,40,6,793
5515,120,20,482
3861,210,10,775
